com.android.stk								             SIM_Tool_Kit
com.google.android.apps.googleassistant    Assistant
com.google.android.apps.nbu.paisa.user	   Google_Pay
com.google.android.apps.subscriptions.red  Google_One
com.android.simappdialog                   Sim_app_dialogue
com.google.android.youtube                 Youtube
com.amazon.avod.thirdpartyclient           Prime_video
com.google.android.videos                  Google_TV
com.google.android.apps.tachyon            Meet
com.oneplus.backuprestore                  Clone_Phone
net.oneplus.forums                         Community
com.google.android.apps.adm                Find_hub
com.google.android.apps.chromecast.app     Google_home
com.oneplus.brickmode                      Zen_Space
com.google.android.adservices.api          Ad_Privacy
com.google.android.dialer                  Google_dialer
com.oplus.games                            Games
com.android.hotwordenrollment.xgoogle      Google_assistant_1
com.android.hotwordenrollment.okgoogle      Google_assistant_2
com.coloros.operationManual                 Help_&_feedback
com.heytap.cloud                            HeyTap_Cloud
com.heytap.browser                          Internet
com.microsoft.appmanager                    Link_to_Windows
com.oneplus.mall                            OnePlus_Store
net.oneplus.widget                            OnePlus_Widget
com.google.android.contacts                 Contacts
com.google.android.apps.nbu.files           Files_by_Google
com.heytap.pictorial                        Lock_Screen_Magazine
net.oneplus.weather                         Weather
com.coloros.shortcuts                       Breeno_Shortcuts
com.coloros.backuprestore                   Clone_Phone
com.coloros.familyguard                     Family_Care
com.nearme.gamecenter                       Game_Center
com.heytap.health                           Health
com.android.email                           Mail
com.heytap.music                            Music
com.oplus.play                              Quick_Game
com.sohu.inputmethod.sogouoem               Sogou_Keyboard_Customized_Version
com.unionpay.tsmservice                     UnionPay_Trusted_Service_Manager
com.heytap.yoli                             Videos
com.oplus.cardigitalkey                     com.plus.cardigitalkey
com.heytap.tas                              com.heytap.tas
com.oplus.ovoicemanager.wakeup              com.oplus.ovoicemanager.wakeup
com.yuemeng.speechsuite                     com.yuemeng.speechsuite
com.oplus.account                           Account_Center
com.heytap.vip                              Account_Service
com.heytap.speechassist                     Breeno
com.coloros.ocrscanner                      Breeno_Scan
com.coloros.directui                        Breeno_Touch
com.heytap.browser                          Browser
com.oplus.sos                               Emergency_SOS
com.android.healthconnect.controller        Health_Connect
com.oplus.healthservice                     healthservice
com.heytap.market                           App_Market
com.oneplus.member                          com.oneplus.member
com.oneplus.bbs                             com.oneplus.bbs
com.oppo.store                              Oppo_Store
com.coloros.translate                       Translate
com.finshell.wallet                         Wallet
com.oplus.aiunit                            AI_Service_Engine
com.coloros.accessibilityassistant          AI_Voice
com.aiunit.aon                              AONService
com.oplus.appbooster                        AppBooster
com.baidu.input_oppo                        Baidu_Input_Method_Customized
com.oplus.beaconlink                        BeaconLink
com.heytap.browser                          Browser
com.oplus.ocar                              Car Connect
com.heytap.opluscarlink                     CarLink
com.heytap.quicksearchbox                   Global_Search
com.android.credentialmanager               Credential_Manager
#com.android.chrome                         Google_chrome
#com.android.vending	                       Play_store
